"Title","Year","Make","Model","Price","Sold","VIN","LicensePlate","Color","InventoryDate"
"2019 Porsche 928","2,019","Porsche","928","16,988","1","WA1CFBFPXCA469729","Q0H 9T4","Black","9/17/2020"
"2000 Saturn S-Series","2,000","Saturn","S-Series","12,790","1","SAJWA0FB2CL856310","S6O 8J1","White","10/8/2019"
"2025 Lexus LS","2,025","Lexus","LS","13,184","0","1GYS4EEJ7CR199733","G1N 0W6","Gray","5/9/2019"
"2016 Toyota Paseo","2,016","Toyota","Paseo","20,236","1","1G4HD5EM6AU547750","M7E 0Z1","Gray","2/14/2020"
"2022 Chevrolet Express 2500","2,022","Chevrolet","Express 2500","13,206","1","1N6AF0KY9FN820754","T0A 5M9","White","5/25/2020"
"2003 Chevrolet LUV","2,003","Chevrolet","LUV","12,543","1","3VW4A7AT5CM601256","P6B 4H6","Gray","7/26/2019"
"2004 Mercury Monterey","2,004","Mercury","Monterey","13,241","0","WBAUL735X9V857545","P0Q 5Z3","Black","12/6/2019"
"2012 Audi 90","2,012","Audi","90","24,693","0","1G6AH5R39F0613737","I9K 4R9","White","4/21/2018"
"2006 Mercedes-Benz SLR McLaren","2,006","Mercedes-Benz","SLR McLaren","12,532","0","WAUDH98E96A655918","C4B 9H9","Black","10/18/2018"
"2022 GMC Suburban 1500","2,022","GMC","Suburban 1500","19,763","0","WBXPC93449W873269","D3S 1C0","Black","10/3/2020"
"2005 Ford E-Series","2,005","Ford","E-Series","21,615","0","WA1LFBFP1DA596614","C4C 7Y4","Silver","10/8/2019"
"2018 Chevrolet S10","2,018","Chevrolet","S10","19,688","1","1GTN1TEX9CZ736302","X3L 1O6","White","9/9/2020"
"2023 Isuzu Rodeo","2,023","Isuzu","Rodeo","13,786","0","WP0CB2A85CS360736","Y8V 6D4","Green","2/3/2018"
"2001 Chrysler Town & Country","2,001","Chrysler","Town & Country","10,453","0","WAUDH74F97N447132","M5M 2C6","Gray","3/13/2018"
"2025 Mercedes-Benz CLK-Class","2,025","Mercedes-Benz","CLK-Class","13,400","0","JTDKDTB3XC1092108","S2A 3D4","White","9/26/2018"
"2019 Dodge Ram 1500","2,019","Dodge","Ram 1500","13,370","0","3FA6P0LU9DR395523","V7Z 8M7","Black","10/15/2020"
"2017 Volvo 960","2,017","Volvo","960","21,681","0","WAUAF48H89K699591","P0Z 7I2","Orange","10/13/2019"
"2022 Plymouth Grand Voyager","2,022","Plymouth","Grand Voyager","17,871","1","1D7RE3BKXAS749845","F4D 4H7","Gray","10/18/2020"
"2024 Mazda MX-5","2,024","Mazda","MX-5","15,152","0","2C3CDXJG7CH333015","N0E 4K2","Blue","5/17/2020"
"2010 Ford Aerostar","2,010","Ford","Aerostar","16,634","1","JN1AY1AR2DM417167","H0O 8J6","Red","1/31/2018"
"2007 Chevrolet Caprice","2,007","Chevrolet","Caprice","20,795","0","3GYFNBEY9AS252937","N1A 1Y8","Silver","1/29/2020"
"2010 Toyota Yaris","2,010","Toyota","Yaris","24,335","1","1HGCR2E54EA327443","H4X 9J0","White","1/4/2018"
"2017 Toyota Land Cruiser","2,017","Toyota","Land Cruiser","18,541","0","4USBT53564L358786","Q7J 7U4","Green","12/2/2018"
"2010 Subaru Impreza","2,010","Subaru","Impreza","21,898","0","1FMJK2A56AE577259","X7X 6D1","White","1/20/2020"
"2008 Honda Civic","2,008","Honda","Civic","10,880","1","1GKS1EEF1BR350871","S9V 9R3","Black","11/6/2020"
"2024 Mercury Cougar","2,024","Mercury","Cougar","13,833","0","JTEBU4BF5AK772727","O2L 2U0","Green","2/2/2019"
"2025 Dodge Durango","2,025","Dodge","Durango","11,863","1","YV426MDB5F2361230","Z4H 8E3","White","9/20/2018"
"2003 Chevrolet Monte Carlo","2,003","Chevrolet","Monte Carlo","14,190","0","JH4KC1F3XEC767074","T6Q 2W8","Black","4/16/2018"
"2008 Ford Bronco II","2,008","Ford","Bronco II","20,919","0","1G6KP5E98AU563643","Z6Q 8U2","Gray","6/4/2019"
"2019 Mazda MPV","2,019","Mazda","MPV","14,649","0","1G6AA5RX4D0275409","Y2G 6L1","Black","12/18/2018"
"2008 Mercedes-Benz E-Class","2,008","Mercedes-Benz","E-Class","24,017","1","1N6AA0CH3EN500552","T5N 3X6","Blue","5/9/2018"
"2020 Mitsubishi Mighty Max","2,020","Mitsubishi","Mighty Max","15,065","1","3N1CN7AP3FL121297","Z2C 6N0","Blue","9/30/2019"
"2018 Mazda MX-6","2,018","Mazda","MX-6","15,153","0","WAUBH74F68N966860","J4C 0B4","Silver","9/12/2019"
"2025 Toyota MR2","2,025","Toyota","MR2","10,850","1","WAUBFAFL6DA487927","Y0X 2W4","Black","7/12/2019"
"2007 Mazda Mazda3","2,007","Mazda","Mazda3","10,047","0","5J8TB2H57CA904463","A5A 1Z5","Silver","6/30/2018"
"2004 GMC Sierra 2500","2,004","GMC","Sierra 2500","17,155","1","5YMGY0C57DL201369","H5B 4U3","White","3/2/2019"
"2010 Saab 44077","2,010","Saab","44077","22,281","0","SCBZB25E81C598312","M9D 7N9","Gray","1/26/2018"
"2008 Audi S4","2,008","Audi","S4","10,528","1","1N6AF0LX4FN508654","X3H 4V6","White","9/16/2019"
"2023 Plymouth Voyager","2,023","Plymouth","Voyager","12,114","1","JM1DE1HY1B0694199","K7D 0W0","Gray","9/10/2019"
"2020 Chevrolet Express 1500","2,020","Chevrolet","Express 1500","18,198","0","WAUEH48H47K294580","O4T 5A4","Black","9/10/2018"
"2009 Lotus Evora","2,009","Lotus","Evora","16,097","0","2T2BK1BA2EC857797","K5R 9E4","Black","9/5/2020"
"2024 Chevrolet Blazer","2,024","Chevrolet","Blazer","23,611","1","1VWAH7A3XDC906463","Z6N 1N4","Blue","2/1/2019"
"2001 Nissan Murano","2,001","Nissan","Murano","13,615","0","SCFKDCEP8EG603265","I2H 6D8","Black","6/5/2020"
"2010 Lexus ES","2,010","Lexus","ES","15,289","1","JN1CV6AP2BM742198","V0J 9V0","Red","2/25/2020"
"2001 Toyota Tacoma","2,001","Toyota","Tacoma","12,363","1","JN8AE2KP5B9113151","N8Q 0Y0","Gray","6/16/2020"
"2007 Toyota Celica","2,007","Toyota","Celica","15,322","1","1GD312CG4BF894076","G6Z 7X8","Gray","5/31/2020"
"2017 Suzuki Swift","2,017","Suzuki","Swift","22,151","1","1G6AA5RA1E0135783","K6G 6M9","Black","12/19/2018"
"2022 Ford F250","2,022","Ford","F250","18,047","0","WAUA2AFD8DN786991","V7H 0P9","Gray","1/17/2020"
"2010 Lincoln Continental Mark VII","2,010","Lincoln","Continental Mark VII","16,544","0","WBAUU335X9A940079","R5G 1M6","White","10/28/2019"
"2024 Mitsubishi Challenger","2,024","Mitsubishi","Challenger","24,061","0","WBY2Z2C50FV207659","W8O 2X4","White","11/24/2019"
"2018 Chrysler LeBaron","2,018","Chrysler","LeBaron","23,392","0","1GYS4BEF9BR720329","I3H 9V0","Blue","5/14/2020"
"2025 Volkswagen Jetta","2,025","Volkswagen","Jetta","18,107","0","1FBAX2CM6FK327060","Q1C 8O9","Blue","3/5/2020"
"2019 Volkswagen GTI","2,019","Volkswagen","GTI","14,919","0","WAUKF98P79A816849","T8P 8I0","Silver","7/20/2018"
"2010 Toyota Prius v","2,010","Toyota","Prius v","11,474","1","KNADM4A33C6299357","F8P 8Z9","White","1/20/2018"
"2004 GMC Yukon XL 2500","2,004","GMC","Yukon XL 2500","19,078","0","JN8AZ1MUXDW759646","G4Z 1O9","Blue","9/9/2020"
"2019 Mazda MX-5","2,019","Mazda","MX-5","23,312","0","WBAKC6C59AC405717","Z1C 0R6","Silver","7/7/2020"
"2015 Audi V8","2,015","Audi","V8","18,707","1","1G6AH5SX2E0848900","S2I 2P0","Red","1/30/2020"
"2024 Mitsubishi Eclipse","2,024","Mitsubishi","Eclipse","13,016","0","1VWAH7A35EC886575","W9W 6U0","Blue","7/22/2020"
"2010 Lexus RX","2,010","Lexus","RX","20,094","0","1B3AZ6EZ9AV343254","B2M 4N4","Yellow","6/12/2018"
"2012 Chevrolet Corvette","2,012","Chevrolet","Corvette","13,773","0","SCFEBBBK7BG693624","X8Q 2O9","Gray","6/28/2019"
"2010 GMC Yukon XL 2500","2,010","GMC","Yukon XL 2500","13,891","1","KNDJN2A24F7823192","D8Z 7G2","Black","5/30/2019"
"2001 BMW 760","2,001","BMW","760","19,863","0","1C4NJCBA8ED446665","Y0X 3I0","White","7/3/2019"
"2016 Chrysler LeBaron","2,016","Chrysler","LeBaron","23,801","1","1G4GA5GC0AF925705","I3J 6U4","Silver","11/15/2019"
"2003 Ford Explorer","2,003","Ford","Explorer","16,825","0","2V4RW3D14AR606005","M2J 6J7","White","12/23/2018"
"2021 Ford Mustang","2,021","Ford","Mustang","12,365","1","YV1382MW2A2833766","A0T 6L2","White","3/12/2019"
"2009 Lincoln Navigator","2,009","Lincoln","Navigator","10,629","1","WAUCVAFR4AA998365","E5W 6P9","Gray","4/4/2019"
"2002 Suzuki Daewoo Lacetti","2,002","Suzuki","Daewoo Lacetti","10,400","1","WBAAV53401J468241","X4D 9T9","Gray","5/24/2019"
"2021 Dodge Viper","2,021","Dodge","Viper","24,648","1","1N4AL2AP4BN722988","U6W 2E8","Gray","4/25/2020"
"2010 Aston Martin DB9","2,010","Aston Martin","DB9","22,688","0","5XYZT3LB7FG185891","K8I 2V5","Gray","3/21/2019"
"2007 Hyundai Azera","2,007","Hyundai","Azera","15,493","0","1G6DV57V880640635","T1C 1K1","Black","10/7/2019"
"2000 Volvo S80","2,000","Volvo","S80","23,241","1","5GADV23W07D690271","Q4X 4J0","Red","3/16/2020"
"2021 GMC Suburban 1500","2,021","GMC","Suburban 1500","12,026","1","WAUJF78K59N700885","Q1Q 7N4","Gray","11/18/2019"
"2001 Maserati Spyder","2,001","Maserati","Spyder","24,204","0","JM3TB2CA1D0127215","D0N 9X1","Black","10/22/2019"
"2003 Kia Spectra","2,003","Kia","Spectra","19,968","0","YV4902DZXB2335024","Q0D 5B8","Black","12/10/2020"
"2010 Ford F-Series","2,010","Ford","F-Series","10,990","0","WBADS43463G020425","A1F 3T7","Silver","5/20/2019"
"2002 Subaru Outback","2,002","Subaru","Outback","17,763","0","5J6TF1H39FL694382","J9V 4J8","Black","9/5/2018"
"2001 Mazda MPV","2,001","Mazda","MPV","24,227","1","1N6AD0CU1BC504000","B5I 9X5","White","11/9/2018"
"2007 Land Rover LR3","2,007","Land Rover","LR3","17,673","1","YV4940BL4D1995933","C8A 5C7","Gray","3/24/2020"
"2004 Hyundai Tiburon","2,004","Hyundai","Tiburon","22,467","0","YV4952CT1C1398762","Y0N 2Q8","White","10/29/2020"
"2006 Infiniti G35","2,006","Infiniti","G35","15,372","1","1G6AM5S36E0004013","D2C 5O9","Gray","2/4/2018"
"2009 Mitsubishi Endeavor","2,009","Mitsubishi","Endeavor","23,243","1","SALAG2D44DA167771","J8F 9P5","Black","1/22/2020"
"2004 Ford F250","2,004","Ford","F250","17,155","0","JTHDL5EF1F5993098","Q7H 9N0","Gray","7/12/2018"
"2008 Ford Crown Victoria","2,008","Ford","Crown Victoria","12,633","0","WAURV78T99A453179","V3R 6K2","Black","9/6/2019"
"2021 Land Rover Defender 90","2,021","Land Rover","Defender 90","14,449","1","4JGBF2FE7AA539213","L0P 6Z4","Black","5/31/2020"
"2008 Nissan GT-R","2,008","Nissan","GT-R","10,056","0","1G4CU541354767693","S5H 8H5","Red","7/31/2020"
"2001 Toyota 4Runner","2,001","Toyota","4Runner","20,555","1","WAUJC58E95A037099","M3Y 3A4","White","8/6/2018"
"2020 Chevrolet Tahoe","2,020","Chevrolet","Tahoe","16,596","1","JTDKDTB31E1452191","V4W 8V2","White","8/19/2020"
"2001 Dodge Viper","2,001","Dodge","Viper","22,704","0","WA1YD54B45N958045","O8G 9S6","Black","1/2/2020"
"2010 Nissan Titan","2,010","Nissan","Titan","11,247","1","3N1BC1CP0CK913887","R8X 5S2","White","9/23/2019"
"2005 Suzuki Forenza","2,005","Suzuki","Forenza","15,775","1","2B3CM5CT8BH709764","Q5C 2E2","Gray","3/1/2018"
"2003 Lexus GS","2,003","Lexus","GS","10,103","1","WAUMGAFL5EA580428","N5T 3Y3","Black","5/28/2019"
"2018 Chevrolet Impala","2,018","Chevrolet","Impala","11,609","0","1FTEW1CF3FK569140","Z8E 2Z5","Black","5/1/2019"
"2013 Buick Skylark","2,013","Buick","Skylark","24,803","0","1FTEW1C82FF562223","N7Q 5A3","Blue","11/11/2020"
"2002 GMC Canyon","2,002","GMC","Canyon","17,998","0","KMHCM3AC7AU190526","C1C 1E3","Red","7/8/2018"
"2023 Isuzu Oasis","2,023","Isuzu","Oasis","22,807","1","5J8TB3H5XEL198148","M8F 8A1","White","8/19/2020"
"2018 Nissan Pathfinder","2,018","Nissan","Pathfinder","12,907","1","WBANA53584B847699","Y8W 8R3","White","4/6/2020"
"2017 Cadillac Seville","2,017","Cadillac","Seville","19,739","1","2G61N5S39D9565615","Q4X 1Z3","Gray","6/12/2019"
"2004 Ford F-350 Super Duty","2,004","Ford","F-350 Super Duty","11,460","0","WBAYB6C59FD904516","N4R 8N2","Silver","7/28/2018"
"2009 Lexus IS F","2,009","Lexus","IS F","11,486","0","1C3CDFCB6FD496378","Z8M 3U7","Green","3/20/2019"
"2018 Mazda 929","2,018","Mazda","929","14,652","1","1GYUCHEF5AR840433","H6J 6R1","White","3/6/2020"
"2011 Porsche Boxster","2,011","Porsche","Boxster","19,796","0","JN8AF5MR1BT309054","X8Q 6C8","Gray","12/3/2020"
"2024 Dodge Dakota","2,024","Dodge","Dakota","22,417","0","3N1CN7APXEL540939","J5G 0H0","White","9/8/2020"
"2010 Porsche Boxster","2,010","Porsche","Boxster","23,690","1","WAUGL78E38A034208","O4A 2L8","Orange","6/14/2020"
"2018 Mazda MX-5","2,018","Mazda","MX-5","20,286","1","WBAFB33471L566013","G0U 9J5","Black","1/25/2018"
"2004 Mazda Mazda5","2,004","Mazda","Mazda5","18,771","1","WBAVB73588K741980","W8J 4H1","Gray","10/5/2020"
"2025 Toyota MR2","2,025","Toyota","MR2","12,442","0","JA32U2FU0DU315722","U0C 2C0","Silver","9/24/2018"
"2018 Toyota Paseo","2,018","Toyota","Paseo","19,257","0","WVWBB7AJ4DW946219","C8O 8J5","Black","10/12/2019"
"2004 Pontiac Montana SV6","2,004","Pontiac","Montana SV6","24,355","1","1GYFK43539R654108","H3A 6S5","Silver","1/18/2018"
"2010 BMW X5 M","2,010","BMW","X5 M","13,487","0","WP0AA2A84CS493692","W3B 1S8","Red","10/22/2020"
"2019 Mitsubishi Mighty Max","2,019","Mitsubishi","Mighty Max","20,393","0","1N6AF0KY0FN235934","Z8H 9H2","Black","12/2/2018"
"2010 Ford Taurus","2,010","Ford","Taurus","17,449","1","JN8CS1MW3FM103401","Y4W 3W3","Red","5/5/2020"
"2017 Chevrolet Bel Air","2,017","Chevrolet","Bel Air","19,174","1","1C4SDHCT6DC423932","Q8R 7H6","Black","5/22/2019"
"2009 Dodge Nitro","2,009","Dodge","Nitro","23,940","1","3C3CFFFH9DT554050","D1G 4C6","Black","2/1/2019"
"2005 Subaru Tribeca","2,005","Subaru","Tribeca","14,331","1","5NPDH4AE2BH717498","H9N 8R7","Gray","6/23/2018"
"2025 Honda Accord","2,025","Honda","Accord","18,066","1","3C4PDCEG1FT066613","G5H 1C9","White","6/22/2020"
"2010 Toyota Prius Plug-in Hybrid","2,010","Toyota","Prius Plug-in Hybrid","19,949","0","SCBDC3ZA0DC818941","B6R 9E0","White","6/8/2019"
"2004 Cadillac CTS","2,004","Cadillac","CTS","17,410","1","4T1BF1FK8FU965594","W6H 8Q7","Black","9/13/2019"
"2017 GMC Vandura 1500","2,017","GMC","Vandura 1500","13,536","0","3VW8S7AT3FM898546","G0X 7B2","Yellow","6/18/2018"
"2022 Infiniti I","2,022","Infiniti","I","14,982","0","SALVP2BG7FH705128","O9V 7H3","Black","6/3/2020"
"2020 Jeep Cherokee","2,020","Jeep","Cherokee","16,456","1","YV1960BW1A1524917","L2L 1Q6","White","6/15/2019"
"2016 Pontiac Grand Prix","2,016","Pontiac","Grand Prix","22,894","1","3LN6L2LU9ER445447","U8R 6C5","Silver","7/11/2018"
"2021 Chevrolet 2500","2,021","Chevrolet","2500","10,112","0","WA1EV74L68D296130","L6F 6S9","Blue","8/17/2018"
"2007 Ford Mustang","2,007","Ford","Mustang","13,396","0","3N1CE2CP6EL616916","Y3N 0K7","Black","6/25/2018"
"2025 Mitsubishi Diamante","2,025","Mitsubishi","Diamante","17,172","0","WBA3V7C57FP723078","R9D 2A3","Gray","11/15/2020"
"2016 Mitsubishi GTO","2,016","Mitsubishi","GTO","19,824","1","1G4HP52KX5U844987","G5Z 7Y2","Silver","5/7/2020"
"2022 Mercury Tracer","2,022","Mercury","Tracer","13,012","1","1D7RW7GP7AS574768","Y0U 5J6","White","7/9/2019"
"2008 Ford Bronco","2,008","Ford","Bronco","21,858","0","JA4AP3AU9CZ321581","X9Y 6S7","Blue","1/16/2020"
"2021 Cadillac Catera","2,021","Cadillac","Catera","17,544","1","JM1NC2LF5C0728863","X1E 0L8","Blue","1/27/2020"
"2016 Mitsubishi Montero","2,016","Mitsubishi","Montero","19,707","1","WBA3B9C54EJ092599","J1E 2K7","Yellow","9/17/2018"
"2015 Mazda Familia","2,015","Mazda","Familia","16,241","0","JTEBU4BF0EK050992","W1J 3D3","White","8/13/2018"
"2007 Chevrolet Equinox","2,007","Chevrolet","Equinox","19,700","1","WAUEF48H27K671025","A3P 1V3","Silver","6/25/2019"
"2003 Suzuki XL-7","2,003","Suzuki","XL-7","13,724","1","3N1AB7AP3FL165378","H9N 0X2","Blue","3/14/2020"
"2010 Audi A7","2,010","Audi","A7","20,168","0","WP1AB2A29FL822437","W0O 7Y2","Black","9/3/2020"
"2008 Volvo XC90","2,008","Volvo","XC90","15,542","0","WBSBR93492P904823","K6P 6M9","White","11/10/2018"
"2007 Porsche 944","2,007","Porsche","944","12,519","1","137ZA83331E720098","K3V 4V5","Silver","8/22/2019"
"2003 Cadillac Escalade ESV","2,003","Cadillac","Escalade ESV","18,894","1","KNDKG3A2XA7484158","L7F 7F3","Blue","7/31/2020"
"2017 Chevrolet G-Series G30","2,017","Chevrolet","G-Series G30","10,816","0","WBAFR1C52BD077572","L5H 6F9","Red","2/22/2019"
"2017 GMC Jimmy","2,017","GMC","Jimmy","24,841","0","1N4AL3AP1EC838963","X9S 7N8","Black","7/9/2019"
"2007 Renault Alliance","2,007","Renault","Alliance","19,953","0","1N6AA0CJ1FN087809","O0T 9T5","Blue","11/16/2019"
"2008 Mercedes-Benz G-Class","2,008","Mercedes-Benz","G-Class","10,405","1","WA1VFBFLXDA308823","A9A 5M8","White","10/15/2018"
"2007 Dodge Avenger","2,007","Dodge","Avenger","11,495","1","WAUNF78P66A101672","G2L 5I4","Black","2/18/2020"
"2006 Infiniti EX","2,006","Infiniti","EX","11,164","0","WAUBFCFL5CA255359","E0K 9G8","Black","5/18/2018"
"2018 Mitsubishi RVR","2,018","Mitsubishi","RVR","19,584","1","WBALM7C56AE350607","W2I 4X4","White","3/7/2020"
"2008 Dodge Journey","2,008","Dodge","Journey","18,475","0","3GYFNBE35ES142865","O5D 2D3","Blue","12/17/2020"
"2021 Chevrolet Corvette","2,021","Chevrolet","Corvette","24,047","0","1G6AB5SAXD0990004","U0G 2Q2","White","7/25/2020"
"2022 Ford Crown Victoria","2,022","Ford","Crown Victoria","21,898","1","2C3CDYBTXCH320437","W4T 6A4","Black","6/23/2018"
"2008 BMW M3","2,008","BMW","M3","18,345","1","2G4GS5ER2D9227131","A5R 2S5","Blue","4/7/2019"
"2016 Volvo 960","2,016","Volvo","960","14,320","0","1FTEX1C85AK656805","N2D 3V2","White","6/1/2020"
"2004 Chrysler Crossfire","2,004","Chrysler","Crossfire","13,713","0","1FMEU7FE1AU389272","L2S 4R9","Gray","9/30/2018"
"2013 Pontiac Grand Prix","2,013","Pontiac","Grand Prix","19,683","1","KNDMA5C13F6684080","T1F 9I2","Black","6/21/2020"
"2023 GMC Safari","2,023","GMC","Safari","10,955","0","SAJWA1CB2CL628057","F1J 7Q1","Brown","7/31/2020"
"2019 Shelby GT350","2,019","Shelby","GT350","13,475","1","WBA6A0C59FG761010","L6O 8E3","Gray","8/5/2018"
"2010 Lexus RX Hybrid","2,010","Lexus","RX Hybrid","11,634","1","YV1982BW5A1884567","K0O 6T4","Orange","8/26/2019"
"2010 Lexus IS-F","2,010","Lexus","IS-F","23,368","0","1FTWW3DY9AE865724","I9T 6S7","Black","11/15/2019"
"2000 Chrysler Concorde","2,000","Chrysler","Concorde","19,467","0","SCBZK25EX3C566674","Q9G 8L1","Black","12/3/2020"
"2003 Buick Terraza","2,003","Buick","Terraza","11,747","1","WBAUP9C52CV449337","J4S 0P5","Black","9/12/2018"
"2015 Mitsubishi Chariot","2,015","Mitsubishi","Chariot","21,684","1","WA1LFBFP4DA973159","S5U 5Q2","White","11/30/2018"
"2011 Lamborghini Countach","2,011","Lamborghini","Countach","20,013","1","WA1BY74L79D971348","T1Y 7M3","Silver","8/20/2019"
"2015 Ford Taurus","2,015","Ford","Taurus","12,808","0","NM0GE9E77F1796577","U7R 5X6","Black","3/19/2019"
"2022 Lexus ES","2,022","Lexus","ES","20,006","0","SCBCR73W19C400773","E9Q 5K5","White","12/11/2020"
"2003 Dodge Dakota","2,003","Dodge","Dakota","10,906","1","1G6YX36D785703283","L5E 7P4","Silver","1/1/2020"
"2009 Lexus LS Hybrid","2,009","Lexus","LS Hybrid","10,848","0","19VDE3F36EE944365","J3D 0G7","White","12/4/2018"
"2019 Chevrolet Suburban 1500","2,019","Chevrolet","Suburban 1500","11,117","1","3C63D2GL1CG597731","H8X 1O6","Gray","4/20/2019"
"2017 Isuzu Trooper","2,017","Isuzu","Trooper","16,930","1","1G6AB5SX0F0203178","P6R 7A4","Blue","11/12/2019"
"2018 Mitsubishi Montero","2,018","Mitsubishi","Montero","10,586","1","19UYA42731A281046","T7B 0L4","Black","8/21/2019"
"2015 Maserati 430","2,015","Maserati","430","20,034","0","4F2CY0C74BK936712","J6T 3G8","White","8/19/2020"
"2008 Toyota RAV4","2,008","Toyota","RAV4","12,205","0","1FMCU0F79DU284242","Q0V 9I8","White","11/10/2020"
"2019 Lotus Esprit","2,019","Lotus","Esprit","12,587","1","3D4PH3FG8BT387810","Y4Q 4A9","Silver","8/12/2019"
"2000 Oldsmobile Alero","2,000","Oldsmobile","Alero","13,975","1","3D7TT2CT8BG535698","E7J 0Q2","Gray","10/1/2019"
"2019 Dodge Intrepid","2,019","Dodge","Intrepid","12,854","0","1G4GD5GR9CF822541","P6A 1S8","Black","12/30/2019"
"2019 Pontiac Firefly","2,019","Pontiac","Firefly","14,506","1","WBAVB77538N869844","D9V 7R7","Silver","1/20/2019"
"2019 Lincoln Mark VIII","2,019","Lincoln","Mark VIII","23,738","1","4A31K3DT8AE211940","P7H 1L5","Black","9/3/2018"
"2004 Toyota Avalon","2,004","Toyota","Avalon","22,436","1","5GALRCEDXAJ564641","W7J 4K2","Silver","8/13/2019"
"2008 Porsche 944","2,008","Porsche","944","19,425","1","1G4GA5ER9DF817420","Q1G 6X8","Black","1/3/2018"
"2005 Saturn Relay","2,005","Saturn","Relay","10,165","0","KMHHT6KD2BU486220","F7V 5Q8","White","5/17/2018"
"2025 Chrysler LHS","2,025","Chrysler","LHS","23,074","0","2G4WY55J311310775","U9S 8A9","Black","4/2/2019"
"2001 Chevrolet Silverado 1500","2,001","Chevrolet","Silverado 1500","21,922","1","WBAEV334X2K311818","W4F 1M3","Black","2/6/2019"
"2003 BMW M3","2,003","BMW","M3","13,585","0","5BZBF0AA6FN378009","Z2S 2P3","Gray","9/18/2020"
"2003 Audi TT","2,003","Audi","TT","17,108","0","JTHBL5EF8C5936688","R1D 1F8","Red","8/26/2019"
"2018 Chevrolet 1500","2,018","Chevrolet","1500","23,870","1","SCBBR53W368965377","K9E 0Y6","Silver","2/17/2020"
"2023 Chevrolet Express 2500","2,023","Chevrolet","Express 2500","22,504","1","WBAYB6C59FD078735","L3F 2Z8","White","3/25/2019"
"2003 Honda Element","2,003","Honda","Element","19,988","0","WAUHFAFL4CA286276","Z7X 1A5","Gray","1/15/2018"
"2021 Nissan Maxima","2,021","Nissan","Maxima","11,140","0","5TFCY5F16BX307962","A5Z 1L2","White","8/11/2019"
"2017 Buick Regal","2,017","Buick","Regal","13,726","0","WBA3V5C5XF5589263","T0K 0O1","Black","12/4/2018"
"2006 MINI Cooper","2,006","MINI","Cooper","12,348","1","WAUDF48HX9K864084","F0R 3J3","Black","6/19/2018"
"2017 Cadillac DeVille","2,017","Cadillac","DeVille","20,847","0","WBA3A5C58DJ040984","I2K 3J6","White","12/16/2018"
"2022 Chevrolet Cavalier","2,022","Chevrolet","Cavalier","19,923","1","WVWAN7AN2EE187051","F3Z 0B4","White","8/27/2019"
"2008 Ford F150","2,008","Ford","F150","20,533","0","JN8AF5MR4BT959304","F6I 3C5","Red","3/23/2019"
"2020 Toyota T100","2,020","Toyota","T100","11,298","1","JHMZF1C62CS238208","Z7X 5I7","Black","12/6/2018"
"2017 Toyota MR2","2,017","Toyota","MR2","14,033","1","1G6KD57Y65U451491","Y2S 8G9","Silver","12/16/2018"
"2004 Mitsubishi Montero","2,004","Mitsubishi","Montero","17,290","0","WAUAKAFB1AN067222","A2Q 5G4","Gray","9/29/2020"
"2006 Hyundai Tiburon","2,006","Hyundai","Tiburon","17,225","1","5GAEV137X8J227757","M5A 7S2","White","12/4/2020"
"2010 Hyundai Veracruz","2,010","Hyundai","Veracruz","21,650","1","KNAFT4A23A5076273","T1O 2W0","Blue","11/3/2019"
"2018 Mercury Grand Marquis","2,018","Mercury","Grand Marquis","19,038","1","WAUVT58E74A277106","J5X 7E1","White","8/6/2020"
